"","RNA","ATAC"
"785","Dstyk",NA
"786","Mllt3",NA
"787","Tk1",NA
"788","Ppp1r10",NA
"789","Gpr141",NA
"790","Rhou",NA
"791","Irgm2",NA
"792","Depdc1b",NA
"793","Bcl2l13",NA
"794","Pip5k1a",NA
"795","Snora74a",NA
"796","Map3k1",NA
"797","F630028O10Rik",NA
"798","Chil1",NA
"799","A730036I17Rik",NA
"800","Ptpa",NA
"801","Marf1",NA
"802","Gm23547",NA
"803","Ankzf1",NA
"804","9130221H12Rik",NA
"805","Gm23946",NA
"806","Usp4",NA
"807","C1qa",NA
"808","Ppm1d",NA
"809","Atg16l1",NA
"810","Sp100",NA
"811","Tprgl",NA
"812","Mgll",NA
"813","Ammecr1",NA
"814","Adgre1",NA
"815","Zfpm1",NA
"816","Fam76a",NA
"817","Plekhm1",NA
"818","Zfp407",NA
"819","Atp6v1e1",NA
"820","Cd36",NA
"821","Atg4d",NA
"822","Gm10800",NA
"823","Gm7701",NA
"824","Foxn3",NA
"825","G2e3",NA
"826","Psap",NA
"827","Cxcr2",NA
"828","Zc3h11a",NA
"829","Rlf",NA
"830","Mgst1",NA
"831","Abhd4",NA
"832","Pttg1",NA
"833","Adam8",NA
"834","Mpg",NA
"835","Pbrm1",NA
"836","Chfr",NA
"837","Nek7",NA
"838","Fpr2",NA
"839","Mtus1",NA
"840","Gm10925",NA
"841","App",NA
"842","Sgk3",NA
"843","Epor",NA
"844","Chek2",NA
"845","Rnf14",NA
"846","Elmo3",NA
"847","Elane",NA
"848","Phf3",NA
"849","Apol11a",NA
"850","Hck",NA
"851","Pnp2",NA
"852","Ms4a3",NA
"853","Acin1",NA
"854","Abcc5",NA
"855","Tsc1",NA
"856","Stat1",NA
"857","Ypel4",NA
"858","Tbc1d10b",NA
"859","Gm25395",NA
"860","Gm37653",NA
"861","Gpatch8",NA
"862","Tmc6",NA
"863","Ap5s1",NA
"864","Cachd1",NA
"865","Ormdl3",NA
"866","F8",NA
"867","Gm23751",NA
"868","Actb",NA
"869","Fam214b",NA
"870","Abhd18",NA
"871","Rnu4atac",NA
"872","Diaph3",NA
"873","Garem1",NA
"874","Pnrc1",NA
"875","Tgfbi",NA
"876","Hpgd",NA
"877","Ccr2",NA
"878","Runx1t1",NA
"879","Ube2v1",NA
"880","Wdr45",NA
"881","Spen",NA
"882","Gm10719",NA
"883","Zc3h4",NA
"884","Senp7",NA
"885","Sec14l1",NA
"886","Gm27177",NA
"887","Lpl",NA
"888","Stx2",NA
"889","Samd14",NA
"890","Dcun1d1",NA
"891","Gsr",NA
"892","Whamm",NA
"893","Ttc14",NA
"894","Hebp1",NA
"895","Gm37052",NA
