"","RNA","ATAC"
"3196","Stk-ps2",NA
"3197","Cstdc5",NA
"3198","Igkv8-21",NA
"3199","Gm21970",NA
"3200","Slc35e2",NA
"3201","Samd1",NA
"3202","Gm26447",NA
"3203","Ncor1",NA
"3204","Mindy1",NA
"3205","Slc26a7",NA
"3206","Pik3r6",NA
"3207","Trim17",NA
"3208","Slco1a1",NA
"3209","Nfyc",NA
"3210","Cacna1h",NA
"3211","Lst1",NA
"3212","Ints12",NA
"3213","Lmo4",NA
"3214","Gm4430",NA
"3215","Trim39",NA
"3216","Pidd1",NA
"3217","Fubp1",NA
"3218","Ppip5k1",NA
"3219","Fbxo10",NA
"3220","Snx13",NA
"3221","Spon1",NA
"3222","Fgd3",NA
"3223","Gm10717",NA
"3224","Cd300e",NA
"3225","Phex",NA
"3226","Gm3138",NA
"3227","Klrk1",NA
"3228","Morrbid",NA
"3229","Mfsd1",NA
"3230","Cnn2",NA
"3231","Zfp426",NA
"3232","Myo5b",NA
"3233","Tnfaip8",NA
"3234","Slc7a13",NA
"3235","Tcirg1",NA
"3236","Fam32a",NA
"3237","Dazap2",NA
"3238","Gm22806",NA
"3239","Myo1b",NA
"3240","E130102H24Rik",NA
"3241","Bmp15",NA
"3242","Srp54a",NA
"3243","Ermn",NA
"3244","Gm12472",NA
"3245","Gm37931",NA
"3246","Sdc4",NA
"3247","Sfmbt1",NA
"3248","Redrum",NA
"3249","Asap3",NA
"3250","Trmt1l",NA
"3251","AW549877",NA
"3252","Zswim8",NA
"3253","Snx3",NA
"3254","Fes",NA
"3255","Ankrd44",NA
"3256","Tnk2os",NA
"3257","Armc8",NA
"3258","Tollip",NA
"3259","Uvssa",NA
"3260","Pparg",NA
"3261","Tmem273",NA
"3262","Rhoj",NA
"3263","Psma2",NA
"3264","Myo9a",NA
"3265","Gm8113",NA
"3266","Med9os",NA
"3267","Scaf1",NA
"3268","Grem1",NA
"3269","Gm12649",NA
"3270","Gm7244",NA
"3271","Gm19705",NA
"3272","Nadk",NA
"3273","Gm37249",NA
"3274","Ciao1",NA
"3275","Cyb5r4",NA
"3276","Troap",NA
"3277","Ik",NA
"3278","Cdan1",NA
"3279","Blm",NA
"3280","1700124L16Rik",NA
"3281","Gm14703",NA
"3282","Tlr9",NA
"3283","Ccnb3",NA
"3284","Cdk16",NA
"3285","Acadsb",NA
"3286","Snora73a",NA
"3287","Ano10",NA
"3288","Phf24",NA
"3289","Foxd2os",NA
"3290","Man2b1",NA
"3291","Tlr1",NA
"3292","Stx7",NA
"3293","Kcna1",NA
"3294","Rab32",NA
"3295","2810455O05Rik",NA
"3296","Jdp2",NA
"3297","Cdca8",NA
"3298","Pcdhgc5",NA
"3299","Gm11960",NA
"3300","Ap1g1",NA
"3301","Slc24a1",NA
"3302","Nek3",NA
"3303","Gm13372",NA
"3304","Gm20430",NA
"3305","Gm38359",NA
"3306","Gm12758",NA
"3307","Arl6ip6",NA
"3308","Gm27255",NA
"3309","Ncapd2",NA
"3310","Tnfsf13b",NA
"3311","Zbtb43",NA
"3312","Tbx18",NA
"3313","Ncald",NA
"3314","Gm12381",NA
"3315","Mvb12b",NA
"3316","Abca6",NA
"3317","Klf15",NA
"3318","Nin",NA
"3319","Cdh23",NA
"3320","Slc23a3",NA
"3321","Kmt2c",NA
"3322","Gm10642",NA
"3323","Nyx",NA
"3324","Ppil2",NA
"3325","Upb1",NA
"3326","Mmp27",NA
"3327","Impg2",NA
"3328","Gna11",NA
"3329","Gm12663",NA
"3330","Cd226",NA
"3331","Gm38134",NA
"3332","Chid1",NA
"3333","Hmmr",NA
"3334","Ptprm",NA
"3335","Pqlc3",NA
"3336","Lamb1",NA
"3337","4930523C07Rik",NA
"3338","Gpc1",NA
"3339","Dact2",NA
"3340","Gm6054",NA
"3341","Gm8159",NA
"3342","Rnf115",NA
"3343","Poteb",NA
"3344","Arfgap1",NA
"3345","Gm7212",NA
"3346","Flt1",NA
"3347","Lancl3",NA
"3348","Snhg20",NA
"3349","Stil",NA
"3350","Eipr1",NA
"3351","Hunk",NA
"3352","Msra",NA
"3353","Cdc42ep4",NA
"3354","Cdc37l1",NA
"3355","Gm9791",NA
"3356","Snx14",NA
"3357","Atad2",NA
"3358","Zfp516",NA
"3359","Baz1a",NA
"3360","Olfr258-ps1",NA
"3361","Nmt1",NA
"3362","H2bc22",NA
"3363","Ace2",NA
"3364","Prpf39",NA
"3365","1300002E11Rik",NA
"3366","Capza1",NA
"3367","Usp35",NA
"3368","Gm26397",NA
"3369","H2bc11",NA
"3370","Cd209g",NA
"3371","Capn11",NA
"3372","Gm11714",NA
"3373","Gm16110",NA
"3374","Churc1",NA
"3375","Gm37820",NA
"3376","Max",NA
"3377","Pcdh11x",NA
"3378","Gm26132",NA
"3379","Mief1",NA
"3380","Cpt1b",NA
"3381","Itch",NA
"3382","Kitl",NA
"3383","Phf12",NA
"3384","Serpinh1",NA
"3385","Edil3",NA
"3386","1700028K03Rik",NA
"3387","Cabp7",NA
"3388","Gfm2",NA
"3389","4933431K14Rik",NA
"3390","Gm37829",NA
"3391","Gm22505",NA
"3392","Gm22363",NA
"3393","Zfyve9",NA
"3394","Adhfe1",NA
"3395","Zfp367",NA
"3396","Tstd3",NA
"3397","Ankle2",NA
"3398","Srgap2",NA
"3399","Chtf18",NA
"3400","Slc4a3",NA
"3401","Gm37588",NA
"3402","Med8",NA
"3403","Colec12",NA
"3404","Vstm4",NA
"3405","Ighv9-3",NA
"3406","Gm37163",NA
"3407","Umad1",NA
"3408","Slc1a3",NA
"3409","Shf",NA
"3410","Il18rap",NA
"3411","Dbf4",NA
"3412","Prkag1",NA
"3413","Pax9",NA
"3414","Arhgef26",NA
"3415","Cnpy1",NA
"3416","A830011K09Rik",NA
"3417","Ikbke",NA
"3418","Cd40",NA
"3419","Cdh24",NA
"3420","Gm10521",NA
"3421","Brip1os",NA
"3422","Creb3",NA
"3423","Bche",NA
"3424","Pcdhga4",NA
"3425","Cox17",NA
"3426","Gm13572",NA
"3427","Gm26916",NA
"3428","Mroh6",NA
"3429","Bbip1",NA
"3430","Epc2",NA
"3431","9630013D21Rik",NA
"3432","Coq9",NA
"3433","P2ry6",NA
"3434","Gm12988",NA
"3435","Galns",NA
"3436","Rims3",NA
"3437","Gm3896",NA
"3438","Gm37689",NA
"3439","Itfg1",NA
"3440","Arg1",NA
"3441","Polq",NA
"3442","Gm37102",NA
"3443","Dennd1a",NA
"3444","Kcnj9",NA
"3445","Mbd3l2",NA
"3446","Wdr76",NA
"3447","Actr10",NA
"3448","Chic2",NA
"3449","Ncbp3",NA
"3450","Smtnl1",NA
"3451","Xcr1",NA
"3452","Gm28924",NA
"3453","Ppm1m",NA
"3454","Sftpb",NA
"3455","Baz1b",NA
"3456","4930405A21Rik",NA
"3457","Acox1",NA
"3458","Cgrrf1",NA
"3459","Clic4",NA
"3460","Selenbp2",NA
"3461","Tbccd1",NA
"3462","Gngt2",NA
"3463","Tcp10a",NA
"3464","Taf7l2",NA
"3465","Cd38",NA
"3466","Gm24044",NA
"3467","Rnf31",NA
"3468","D11Wsu47e",NA
"3469","Dbndd2",NA
"3470","Tubb4b",NA
"3471","Ncstn",NA
"3472","Klf7",NA
"3473","Cd2bp2",NA
"3474","Isca2",NA
"3475","Ugt1a6a",NA
"3476","Gm24455",NA
"3477","Mfsd12",NA
"3478","Cyren",NA
"3479","Aldh3b3",NA
"3480","Cd37",NA
"3481","Gnb2",NA
"3482","Arpc4",NA
"3483","Ptprr",NA
"3484","Ecm1",NA
"3485","Gm13912",NA
"3486","Obscn",NA
"3487","Gm12743",NA
"3488","Hrh4",NA
"3489","Rpl26-ps4",NA
"3490","Olfr613",NA
"3491","Gm20541",NA
"3492","Gm29362",NA
"3493","Gm36974",NA
"3494","Ptpru",NA
"3495","Rnd1",NA
"3496","Gm15971",NA
"3497","Cdc45",NA
"3498","Hras",NA
"3499","Adora2b",NA
"3500","Tbc1d2",NA
"3501","Gm25776",NA
"3502","Tnpo2",NA
"3503","Tasor",NA
"3504","Hdac5",NA
"3505","Il1rl2",NA
"3506","Bcl2a1b",NA
"3507","Wdr90",NA
"3508","Il18bp",NA
"3509","Rbm15",NA
"3510","Paxbp1",NA
"3511","Nlrp1a",NA
"3512","Slc6a3",NA
"3513","Cyp2ab1",NA
"3514","Ufd1",NA
"3515","Ddr2",NA
"3516","Gm15472",NA
"3517","6330403L08Rik",NA
"3518","H3f3b",NA
"3519","Tac2",NA
"3520","Ifngr2",NA
"3521","Lrba",NA
"3522","Smc2",NA
"3523","Fmo5",NA
"3524","Cdadc1",NA
"3525","Gm17344",NA
"3526","C630004M23Rik",NA
"3527","Itgad",NA
"3528","Cstf3",NA
"3529","Aldh3b2",NA
"3530","Acvrl1",NA
"3531","Dgkg",NA
"3532","Cfap69",NA
"3533","Larp4b",NA
"3534","Hal",NA
"3535","Ier5",NA
"3536","Piezo1",NA
"3537","Gm15675",NA
"3538","Gm26225",NA
"3539","Mcub",NA
"3540","Dot1l",NA
"3541","Ocln",NA
"3542","Nmb",NA
"3543","Gtpbp4-ps2",NA
"3544","Naga",NA
"3545","Angpt2",NA
"3546","Tmem53",NA
"3547","Slc7a7",NA
"3548","Mttp",NA
"3549","Ifit3",NA
"3550","Ribc1",NA
"3551","Fgl2",NA
"3552","Gm5466",NA
"3553","Me3",NA
"3554","Nek2",NA
"3555","Mapre3",NA
"3556","Anapc16",NA
"3557","Tspan32",NA
"3558","Pir",NA
"3559","Pira13",NA
"3560","Gm14780",NA
"3561","Mkrn1-ps1",NA
"3562","Jaml",NA
"3563","Sirt1",NA
"3564","Hexa",NA
"3565","Tlr7",NA
"3566","Cacnb1",NA
"3567","Myo10",NA
"3568","Prpf4b",NA
"3569","Xntrpc",NA
"3570","Kat6a",NA
"3571","Cftr",NA
"3572","Gm12419",NA
"3573","Gm14537",NA
"3574","Cactin",NA
"3575","Gm21969",NA
"3576","Tmem38b",NA
"3577","Gm12312",NA
"3578","Gm11512",NA
"3579","9830107B12Rik",NA
"3580","Chrdl1",NA
"3581","C87436",NA
"3582","Hmgb1-ps8",NA
"3583","Ptpn11",NA
"3584","Oprl1",NA
"3585","Spata31",NA
"3586","Gm12529",NA
"3587","Hectd2os",NA
"3588","Gm28793",NA
"3589","Gm37664",NA
"3590","Sh3d21",NA
"3591","Rad54l",NA
"3592","Dnajb11",NA
"3593","Slc35d1",NA
"3594","Traip",NA
"3595","Rad51c",NA
"3596","Abca8b",NA
"3597","Prok2",NA
"3598","Tsku",NA
"3599","Igkv1-110",NA
"3600","Gm5702",NA
"3601","Cytip",NA
"3602","Cenpt",NA
"3603","2810403D21Rik",NA
"3604","Ppp3ca",NA
"3605","Brca2",NA
"3606","Ube2z",NA
"3607","Ethe1",NA
"3608","Mcm10",NA
"3609","Vcp",NA
"3610","Gm28872",NA
"3611","Mdga2",NA
"3612","Gmip",NA
"3613","Myo9b",NA
"3614","A4galt",NA
"3615","Snta1",NA
"3616","Gm14429",NA
"3617","Slamf6",NA
"3618","Iqgap3",NA
"3619","D430041D05Rik",NA
"3620","Rtl9",NA
"3621","Nhej1",NA
"3622","Tnfsf12",NA
"3623","Ddx4",NA
"3624","Gabbr2",NA
"3625","4932438A13Rik",NA
"3626","E230015B07Rik",NA
"3627","Gm14212",NA
"3628","C030013C21Rik",NA
"3629","Gm28856",NA
"3630","Gm37632",NA
"3631","Tmem231",NA
"3632","BC031181",NA
"3633","Ociad1",NA
"3634","Gm37860",NA
"3635","Sass6",NA
