,Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
5088,ENSMUSG00000027611,Procr,588.561516,-7.187065252,0.812170247,-8.849210219,8.81E-19,1.55E-14
14983,ENSMUSG00000081662,Gm14098,312.7737189,25.02172685,3.099470972,8.072902467,6.86E-16,4.98E-12
11387,ENSMUSG00000050157,Gm867,301.556096,24.96335377,3.102251161,8.046851295,8.50E-16,4.98E-12
17090,ENSMUSG00000097405,D630044L22Rik,272.5222487,24.8303912,3.110786613,7.982029723,1.44E-15,6.33E-12
11050,ENSMUSG00000047977,Synb,246.7877022,24.68573365,3.120763145,7.910159312,2.57E-15,9.04E-12
562,ENSMUSG00000004031,Brinp2,248.1074226,24.47616603,3.120168682,7.8445009,4.35E-15,1.27E-11
17485,ENSMUSG00000100277,1810053B23Rik,207.8559524,24.4484701,3.142324342,7.780377655,7.23E-15,1.82E-11
13590,ENSMUSG00000069083,Gm10259,251.6181053,-24.25727306,3.124825236,-7.762761508,8.31E-15,1.83E-11
15697,ENSMUSG00000085873,Ttc39aos1,177.5023848,24.22928985,3.166083452,7.652764123,1.97E-14,3.84E-11
7354,ENSMUSG00000032591,Mst1,144.5093764,23.94525232,3.204466524,7.472461375,7.87E-14,1.29E-10
12173,ENSMUSG00000055833,1700034H15Rik,143.8495163,23.9428317,3.205431702,7.469456199,8.05E-14,1.29E-10
7136,ENSMUSG00000032174,Icam5,137.2509146,23.85487325,3.215599517,7.4184839,1.18E-13,1.74E-10
17185,ENSMUSG00000097730,Gm26588,129.9924528,23.7940791,3.227980439,7.371196808,1.69E-13,2.29E-10
15763,ENSMUSG00000086199,Bcas3os1,124.7135714,23.73962319,3.237885443,7.331829247,2.27E-13,2.85E-10
12135,ENSMUSG00000055546,Timd4,117.4551096,23.65611547,3.252937874,7.272230947,3.54E-13,4.14E-10
15339,ENSMUSG00000083876,Gm11439,114.1558088,23.61371777,3.260399049,7.242585162,4.40E-13,4.84E-10
13932,ENSMUSG00000072589,Gm10371,163.6453213,22.89469782,3.180239524,7.199048261,6.06E-13,6.27E-10
16848,ENSMUSG00000096201,Gm10715,105.5776266,23.50722203,3.281911809,7.162661094,7.91E-13,7.73E-10
8508,ENSMUSG00000036899,Trpv5,102.938186,23.47054189,3.289224886,7.135584431,9.64E-13,8.92E-10
15171,ENSMUSG00000082806,Rpl13-ps1,97.65930463,23.39413206,3.304981764,7.078445128,1.46E-12,1.28E-09
2021,ENSMUSG00000020295,Hbq1a,91.72056313,23.3114235,3.324757904,7.011464946,2.36E-12,1.97E-09
